Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1,1,1,1,1,0.01,4,4,0.85,0,200,500,"3-Random","4-Random",0.0,0.0,0.0,0.0,0.23809523809523808,0.47619047619047616,0.2857142857142857
2,3,11,376,12,0.0775,4,4,0.85,11,200,500,"1-DailyPurchase","1-(s,Q)",0.002583338681860625,0.12197054999185894,0.0023225267745219285,0.012696541586261325,0.08001278561860671,0.1246259587001254,0.7826647140950066
2,6,20,750,8,0.05500000000000001,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0017427246634869177,0.06920159042587169,0.053744016009898234,0.05239834037375209,0.24094492246617158,0.22101847847433262,0.4856382586857438
3,9,6,563,13,0.06625,4,4,0.85,2,200,500,"3-Random","4-Random",0.0006393563075249374,0.0970130502928619,0.004494960142697371,0.01398581163873697,0.1179386894549777,0.07741381692819511,0.7906616819780903
2,8,30,1125,4,0.0325,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0014696952983664967,0.09548049369262797,0.09376930683393597,0.04435656529118306,0.28289081098558294,0.26987267319276553,0.40287995053046827
2,4,25,1313,6,0.02125,4,4,0.85,9,200,500,"1-DailyPurchase","2-(s,S)",0.0005590805730457425,0.09258954897138363,0.010463967121977356,0.02044767761714787,0.2435226449481501,0.3256163314546327,0.4104133459800693
2,2,35,938,10,0.08875000000000001,4,4,0.85,6,200,500,"3-Random","4-Random",0.008650181872452799,0.3226576746561854,0.0008982187093338198,0.04466779693128409,0.09089161057734155,0.3056369894205936,0.5588036030707808
1,7,16,188,3,0.043750000000000004,4,4,0.85,13,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.007889100353627667,0.1489006115494141,0.5113961830221656,0.14981299715883234,0.3874649153895473,0.28330462788562566,0.17941745956599472
3,2,28,282,5,0.060625000000000005,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.00446896270603397,0.14172727089158618,0.2003327057360805,0.0722737817419371,0.2019792348410364,0.4175194705505512,0.30822751286647526
2,8,18,1406,2,0.083125,4,4,0.85,12,200,500,"1-DailyPurchase","2-(s,S)",0.004484609466294205,0.08417724422694602,0.008566243194192377,0.12924182002390042,0.20993254350515667,0.1465940065593358,0.514231629911607
2,6,8,1032,12,0.015625,4,4,0.85,1,200,500,"1-DailyPurchase","1-(s,Q)",0.0003471010043859121,0.06588657115538885,0.005269013578336107,0.0051855376958113665,0.14527384569214652,0.1319668842178508,0.7175737323941913
3,7,33,95,7,0.094375,4,4,0.85,7,200,500,"3-Random","3-(R,S)",0.0029634909923890343,0.11338597944686327,0.3904206053078131,0.017494507271135783,0.3028155075602349,0.28793523377689634,0.391754751391733
2,5,3,1219,4,0.07187500000000001,4,4,0.85,3,200,500,"2-PeriodicallyPurchase","4-Random",0.0012235406508949967,0.01781206199733483,0.002429742726121841,0.06957743076039644,0.1701616199960546,0.07444022422343305,0.6858207250201159
1,4,38,657,9,0.038125000000000006,4,4,0.85,5,200,500,"3-Random","4-Random",0.0010250098529664049,0.10653423817009385,0.03850722678589997,0.026979097099498126,0.22688511560466992,0.37038808416069563,0.37574770313513634
1,9,23,469,11,0.026875000000000003,4,4,0.85,10,200,500,"1-DailyPurchase","2-(s,S)",0.0004256085161505089,0.09512287458381849,0.03625556359334186,0.010625644754733488,0.3658993267202069,0.2905849637657247,0.3328900647593348
2,10,39,235,12,0.052187500000000005,4,4,0.85,10,200,500,"3-Random","1-(s,Q)",0.0021512968112272933,0.10556810783593698,0.005986437516218183,0.0229289782777792,0.2548792653689325,0.26628393885513424,0.4559078174981539
2,3,13,844,14,0.04937500000000001,4,4,0.85,14,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.01554627476071551,0.2269673852015484,3.794357300369848e-05,0.10287581347911533,0.10146666737357762,0.18623484577078403,0.6094226733765229
3,3,10,1359,8,0.029687500000000006,4,4,0.85,14,200,500,"3-Random","4-Random",0.0010090589060408844,0.07078552767651147,0.01869366800298698,0.0651270080686301,0.17957274744818016,0.15741527513909576,0.5978849693440939
1,5,19,985,5,0.09718750000000001,4,4,0.85,2,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0014040820361208284,0.06574524971606732,0.003402743543607131,0.05815463589277882,0.2459201007456997,0.2701228101278215,0.42580245323370003
2,4,24,48,14,0.018437500000000002,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0012523157491642603,0.11818252146780474,0.2866959363976656,0.011101113711391218,0.3228995221487291,0.3387812999753783,0.3272180641645013
2,7,2,516,6,0.0240625,4,4,0.85,15,200,500,"3-Random","3-(R,S)",0.000847083012915271,0.09059435746665852,0.045064166092138244,0.11024344707198082,0.3440144389270583,0.15777107650915845,0.3879710374918024
2,9,12,142,9,0.0915625,4,4,0.85,3,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0015417782533282585,0.10275975210075203,0.08568796845978267,0.023486120889080423,0.292068825490334,0.21710288017567778,0.4673421734449078
2,4,7,329,11,0.05781250000000001,4,4,0.85,13,200,500,"1-DailyPurchase","4-Random",0.0005717840695537244,0.069014302645454,0.008402427685648365,0.0121359066412548,0.18078936777775556,0.12432219600661591,0.6827525295743737
